source_models,source_checkpoints,target_model,target_checkpoint,attack,epsilon,alpha,steps,momentum,random_start,diversity_prob,resize_rate,samples,source_clean_acc,target_clean_acc,joint_clean_acc,adv_error_rate_all,transfer_asr_target_clean,transfer_asr_joint_clean,mean_ssim_target_clean,mean_ssim_joint_clean,transfer_score_target_clean,transfer_score_joint_clean
resnet18,models_public\resnet18_best.pt,resnet34,models_public\resnet34_best.pt,fgsm,0.031372549,,,,,,,64,0.9375,0.96875,0.921875,0.5625,0.5483870967741935,0.5254237288135594,0.9843764585607192,0.9840695627274052,53.981934824297504,51.70534990601621
resnet18,models_public\resnet18_best.pt,vgg16,models_public\vgg16_best.pt,fgsm,0.031372549,,,,,,,64,0.9375,0.9375,0.890625,0.59375,0.5666666666666667,0.543859649122807,0.9844262319452622,0.9841241682729414,55.78415314356486,53.52254248501962
resnet18,models_public\resnet18_best.pt,densenet121,models_public\densenet121_best.pt,fgsm,0.031372549,,,,,,,64,0.9375,0.96875,0.921875,0.59375,0.5806451612903226,0.559322033898305,0.9861820803748237,0.9860151175296668,57.262185312086544,55.14999809911695
resnet18,models_public\resnet18_best.pt,resnet34,models_public\resnet34_best.pt,pgd,0.031372549,0.007843137,10,,True,,,64,0.9375,0.96875,0.921875,0.890625,0.8870967741935484,0.8813559322033898,0.9911897832697089,0.9911629236661471,87.9281259352161,87.35673225532143
resnet18,models_public\resnet18_best.pt,vgg16,models_public\vgg16_best.pt,pgd,0.031372549,0.007843137,10,,True,,,64,0.9375,0.9375,0.890625,0.765625,0.75,0.7368421052631579,0.9906297471788195,0.9905565125601632,74.29723103841145,72.98837460969622
resnet18,models_public\resnet18_best.pt,densenet121,models_public\densenet121_best.pt,pgd,0.031372549,0.007843137,10,,True,,,64,0.9375,0.96875,0.921875,0.890625,0.8870967741935484,0.8813559322033898,0.9910671234130859,0.9910113261296198,87.91724481890277,87.34337111650886
resnet18,models_public\resnet18_best.pt,resnet34,models_public\resnet34_best.pt,mi_fgsm,0.031372549,0.007843137,10,1.0,False,0.0,0.9,64,0.9375,0.96875,0.921875,0.90625,0.9032258064516129,0.8983050847457628,0.9894321816308158,0.9894017993279223,89.36806801826722,88.87846671928794
resnet18,models_public\resnet18_best.pt,vgg16,models_public\vgg16_best.pt,mi_fgsm,0.031372549,0.007843137,10,1.0,False,0.0,0.9,64,0.9375,0.9375,0.890625,0.8125,0.8,0.7894736842105263,0.9889382123947144,0.9888695398966472,79.11505699157715,78.06864788657741
resnet18,models_public\resnet18_best.pt,densenet121,models_public\densenet121_best.pt,mi_fgsm,0.031372549,0.007843137,10,1.0,False,0.0,0.9,64,0.9375,0.96875,0.921875,0.90625,0.9032258064516129,0.8983050847457628,0.9893017496381488,0.9892453067707565,89.35628706409085,88.86440891330525
resnet18+vgg16+densenet121,models_public\resnet18_best.pt|models_public\vgg16_best.pt|models_public\densenet121_best.pt,resnet34,models_public\resnet34_best.pt,ensemble,0.031372549,0.007843137,10,1.0,False,0.0,0.9,64,0.953125,0.96875,0.953125,0.984375,0.9838709677419355,0.9836065573770492,0.9895328302852443,0.9896163781483968,97.35726233451598,97.33931588344886
resnet18,models_public\resnet18_best.pt,resnet34,models_public\resnet34_best.pt,mi_fgsm,0.031372549,0.007843137,10,1.0,False,0.7,0.8,64,0.9375,0.96875,0.921875,0.859375,0.8548387096774194,0.847457627118644,0.9890678873601949,0.9890273857116699,84.54935166143602,83.81588014505677
